id,auc,ap,mask_area_pct,inside_mean,outside_mean,in_out_ratio,top1pct_recall,top0_5pct_recall
30011727,0.8286266787098959,0.029915004816301258,0.74462890625,0.17982064641780887,0.05898085212675086,3.0487965067613167,0.014344262294788027,0.002049180327826861
24055483,0.8219305483401073,0.007867549536027764,0.1373291015625,0.21777719707446266,0.05991249135315948,3.634920795423912,0.0,0.0
24055502,0.8116173013681236,0.00506579823257619,0.16326904296875,0.1249902300065708,0.059185727013635656,2.1118302535925944,0.0,0.0
22580244,0.7844815659774855,0.014983453184826538,0.34332275390625,0.17237870682712067,0.05841566644695253,2.950898069008211,0.008888888888493826,0.0
22580192,0.7533793666899469,0.03499796815202108,0.7476806640625,0.18642925900636428,0.055950357657773446,3.332047076914298,0.07551020408009163,0.022448979591378593
50996352,0.7522644142159859,0.08919961336068247,1.75628662109375,0.1753531547121607,0.05203125810818922,3.3701495482975132,0.11033883579400228,0.05125977410902468
30011674,0.7219019384529565,0.042334147421994546,1.52587890625,0.13494248138748727,0.05675114750401056,2.3777925829609905,0.0299999999997,0.01099999999989
50996406,0.714533470176991,0.060594405456911866,2.93731689453125,0.09160014265375685,0.055480946451760826,1.6510195301589774,0.009870129870078598,0.0015584415584334627
50994354,0.7118362773113736,0.03962645194466193,1.57012939453125,0.11495069092776265,0.052520351416469005,2.1886881169046397,0.02137998056344626,0.008746355685046198
24055445,0.6894830339679521,0.002711315824037535,0.17547607421875,0.04826105814363937,0.06345558193488252,0.7605485454010795,0.0,0.0
22678646,0.6860692924079259,0.11414240298145395,3.72314453125,0.1202250270414342,0.04759463908590441,2.5260198226157304,0.05696721311452063,0.021311475409748724
24065530,0.6599338917025649,0.18563529699331555,10.150146484375,0.0878967754434631,0.05075802350756171,1.7316820485247644,0.02420324714367979,0.010072158749233204
22678694,0.6519557840429074,0.03333783562247967,2.276611328125,0.03976309823152917,0.054116747382125394,0.7347649814041297,0.0,0.0
20588334,0.6519381974286841,0.051346297545514015,3.49578857421875,0.05586960654129179,0.055655148090106306,1.0038531639931432,0.003928415539048763,0.0
50994273,0.648002078498018,0.03314511393287574,1.82037353515625,0.09076511365655493,0.054003593203203276,1.6807232901668885,0.010896898574929616,0.0
24065584,0.6386661755584904,0.11379082215728774,7.17926025390625,0.07340944331668,0.0534177260704208,1.374252237494754,0.026567481402706553,0.012539851222077493
24055464,0.6295419365350932,0.0013613214107128539,0.10986328125,0.0225881566862604,0.05982735084811085,0.37755562615584876,0.0,0.0
20588308,0.6247154451789007,0.04758582863484188,3.28521728515625,0.06766388032315154,0.054633820996492055,1.2384978151632113,0.005109150023199679,0.0
